epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,245.686,1.43889,0.56746,1.07595,0.9406,0.937,0.9654,0.52687,1.54921,0.56802,1.11095,0.000666269,0.000666269,0.000666269
2,447.901,1.469,0.59036,1.08498,0.94006,0.93078,0.96319,0.51851,1.5534,0.56869,1.11782,0.00128895,0.00128895,0.00128895
3,645.966,1.47395,0.60493,1.09002,0.94232,0.93569,0.96473,0.51928,1.55282,0.5798,1.1148,0.00186763,0.00186763,0.00186763
4,856.518,1.48257,0.60645,1.0899,0.94193,0.9316,0.96206,0.51627,1.55901,0.58656,1.11525,0.001802,0.001802,0.001802
5,1055.49,1.48083,0.60951,1.08537,0.9368,0.93383,0.96216,0.52231,1.54784,0.58337,1.10793,0.001736,0.001736,0.001736
6,1258.85,1.47489,0.60046,1.09253,0.93735,0.93282,0.96424,0.52111,1.53852,0.57822,1.11164,0.00167,0.00167,0.00167
