epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5101.02,1.44556,0.57241,1.00503,0.93592,0.92718,0.96007,0.52451,1.51882,0.56354,1.02546,0.000588509,0.000588509,0.000588509
43,5222.45,1.43453,0.56481,1.00399,0.93961,0.92827,0.96223,0.52635,1.51776,0.56646,1.02493,0.000535116,0.000535116,0.000535116
44,5343.51,1.4367,0.56506,1.00766,0.93541,0.92925,0.96051,0.52706,1.51804,0.56128,1.02419,0.000483716,0.000483716,0.000483716
45,5464.94,1.43479,0.56278,1.00626,0.93909,0.92412,0.96168,0.52735,1.52051,0.56226,1.02343,0.000434451,0.000434451,0.000434451
46,5587.36,1.42705,0.55784,0.99914,0.93485,0.9274,0.96007,0.52469,1.51693,0.55891,1.02534,0.000387455,0.000387455,0.000387455
47,5710.44,1.42749,0.55948,0.99841,0.93785,0.92969,0.96249,0.5262,1.52238,0.55694,1.02651,0.000342858,0.000342858,0.000342858
48,5832.41,1.41892,0.55358,1.00331,0.93891,0.92805,0.96143,0.52784,1.51661,0.55415,1.02484,0.000300782,0.000300782,0.000300782
49,5954.51,1.4252,0.55528,0.99917,0.93978,0.92641,0.96222,0.52864,1.51254,0.55574,1.02366,0.000261341,0.000261341,0.000261341
50,6076.96,1.41442,0.54978,0.99563,0.93771,0.92881,0.96222,0.52608,1.52022,0.55522,1.02535,0.000224645,0.000224645,0.000224645
51,6208.54,1.42353,0.53762,1.01089,0.93654,0.92663,0.96101,0.52346,1.52406,0.55726,1.027,0.000190794,0.000190794,0.000190794
52,6326.36,1.41591,0.53253,1.00926,0.94102,0.92503,0.96221,0.5268,1.52404,0.55852,1.02674,0.000159879,0.000159879,0.000159879
53,6444.34,1.41254,0.52938,1.00895,0.93943,0.92728,0.961,0.52696,1.51524,0.55527,1.02542,0.000131987,0.000131987,0.000131987
54,6562.11,1.40813,0.52637,1.00629,0.9368,0.92889,0.96169,0.52669,1.51736,0.55374,1.02527,0.000107194,0.000107194,0.000107194
55,6680.1,1.40512,0.52548,1.0048,0.94032,0.92903,0.96251,0.52746,1.51774,0.55359,1.02559,8.55676e-05,8.55676e-05,8.55676e-05
56,6798.67,1.40633,0.52654,1.00457,0.94036,0.92849,0.96288,0.52948,1.51668,0.5534,1.02523,6.71668e-05,6.71668e-05,6.71668e-05
57,6913.04,1.39825,0.52417,1.00458,0.93964,0.9298,0.96216,0.52947,1.51807,0.55265,1.0261,5.20423e-05,5.20423e-05,5.20423e-05
58,7027.38,1.3988,0.52373,1.00271,0.93926,0.92958,0.96289,0.52763,1.52059,0.55288,1.0267,4.02357e-05,4.02357e-05,4.02357e-05
59,7141.66,1.39701,0.52163,1.00672,0.93944,0.92761,0.96279,0.52905,1.5166,0.55218,1.02597,3.17792e-05,3.17792e-05,3.17792e-05
60,7253.84,1.39618,0.52147,1.00275,0.93808,0.92961,0.96297,0.52977,1.51939,0.55229,1.02658,2.6696e-05,2.6696e-05,2.6696e-05
